debug,npm run test:node && npm run test:browser && npm run lint
glob-parent,nyc mocha --async-only
js-yaml,npm run lint && mocha
fs-extra,npm run lint && npm run unit && npm run unit-esm
cross-spawn,jest --env node --coverage
iconv-lite,mocha --reporter spec --grep .
braces,mocha
fill-range,npm run lint && npm run mocha
micromatch,mocha
to-regex-range,mocha
is-glob,mocha && node benchmark.js
mime-types,mocha --reporter spec test/test.js
doctrine,nyc mocha
define-property,mocha
extend-shallow,mocha
anymatch,nyc mocha
source-map-support,mocha
jsonfile,npm run lint && npm run unit
optionator,make test
http-errors,mocha --reporter spec --bail
type-check,make test
levn,make test
node-fetch,mocha
istanbul-lib-instrument,nyc mocha
is-extendable,mocha
fast-levenshtein,mocha
esquery,nyc npm run mocha && npm run lint
on-finished,mocha --reporter spec --bail --check-leaks test/
error-ex,mocha --compilers coffee:coffee-script/register
raw-body,mocha --trace-deprecation --reporter spec --bail --check-leaks test/
finalhandler,mocha --reporter spec --check-leaks test/
send,mocha --check-leaks --reporter spec
serialize-javascript,nyc --reporter=lcov mocha test/unit
body-parser,mocha --reporter spec --check-leaks test/
accepts,mocha --reporter spec --check-leaks --bail test/
serve-static,mocha --reporter spec --bail --check-leaks test/
content-disposition,mocha --reporter spec --bail --check-leaks test/
istanbul-reports,nyc mocha --recursive
istanbul-lib-source-maps,nyc mocha
express,mocha --require test/support/env --reporter spec --check-leaks test/ test/acceptance/
@sinonjs/fake-timers,npm run test-node && npm run test-headless
type-is,mocha --reporter spec --check-leaks --bail test/
istanbul-lib-report,nyc mocha
terser,node test/compress.js && mocha test/mocha
through2,npm run lint && npm run test:node && npm run test:browser
css-tree,mocha lib/__tests --require lib/__tests/helpers/setup.js --reporter progress
proxy-addr,mocha --reporter spec --bail --check-leaks test/
prop-types,npm run tests-only
babel-plugin-istanbul,cross-env NODE_ENV=test nyc --reporter=lcov --reporter=text mocha --timeout 5000 test/*.js
@humanwhocodes/config-array,mocha -r esm tests/ --recursive
jsdom,mocha test/index.js
makeerror,NODE_PATH=./lib mocha --ui exports
walker,NODE_PATH=./lib mocha --ui exports
watchpack,mocha
eslint-import-resolver-node,npm run tests-only
eslint-utils,"run-s ""format:prettier -- --check"" lint build test:mocha"
has-values,mocha
has-value,mocha
color,xo && tsd && mocha
@babel/preset-modules,eslint src test && jest --colors
url-parse,c8 --reporter=lcov --reporter=text mocha test/test.js
jsx-ast-utils,npm run tests-only --
@cspotcode/source-map-support,mocha
simple-swizzle,mocha --compilers coffee:coffee-script/register
global-prefix,mocha
compression,mocha --check-leaks --reporter spec
compressible,mocha --reporter spec --bail --check-leaks test/
css-loader,npm run test:coverage
url,npm run tests-only
ejs,npx jake test
global-modules,mocha
postcss-modules-local-by-default,yarn test:coverage
postcss-modules-scope,yarn test:coverage
thenify,mocha --reporter spec
ecdsa-sig-formatter,istanbul cover --root src _mocha -- spec
mz,mocha --reporter spec
thenify-all,mocha --reporter spec
rechoir,nyc mocha --async-only
hoist-non-react-statics,nyc mocha tests/unit/ --recursive --reporter spec --require=@babel/register
postcss-modules-values,yarn test:coverage
clone-deep,mocha
shallow-clone,mocha
jsonwebtoken,npm run lint && npm run coverage && cost-of-modules
jake,./bin/cli.js test
prettier-linter-helpers,npm run lint && mocha
cors,npm run lint && nyc --reporter=html --reporter=text mocha --require test/support/env
expand-brackets,mocha
node-gyp,cross-env NODE_GYP_NULL_LOGGER=true mocha --timeout 15000 test/test-download.js test/test-*
extglob,mocha
fd-slicer,mocha --reporter spec --check-leaks
cli-table3,jest --color
safe-regex,jest
http-proxy,nyc --reporter=text --reporter=lcov npm run mocha
promise,mocha --bail --timeout 200 --slow 99999 -R dot && npm run test-memory-leak
set-value,mocha
csso,mocha test --reporter ${REPORTER:-progress}
promise-retry,mocha --bail -t 10000
postcss-loader,npm run test:coverage
object.pick,mocha
language-tags,c8 mocha
d3-array,mocha 'test/**/*-test.js' && eslint src test
registry-auth-token,mocha --require test/global-hooks.js
ua-parser-js,./script/test-all.sh
union-value,mocha
to-object-path,mocha
unset-value,mocha
archiver-utils,mocha --reporter dot
object-visit,mocha
collection-visit,mocha
map-visit,mocha
pascalcase,mocha
object-copy,mocha
static-extend,mocha
memory-fs,mocha
fragment-cache,mocha
cache-base,nyc --reporter=text --reporter=html mocha
pinkie-promise,mocha
regex-not,mocha
to-regex,mocha
base,mocha
snapdragon,mocha
nanomatch,mocha
class-utils,mocha
selfsigned,mocha -t 5000
sass-loader,npm run test:coverage
snapdragon-util,mocha
hash.js,mocha --reporter=spec test/*-test.js && npm run lint
elliptic,npm run lint && npm run unit
asn1.js,mocha --reporter spec test/*-test.js && cd rfc/2560 && npm i && npm test && cd ../../rfc/5280 && npm i && npm test && cd ../../ && npm run lint
html-minifier-terser,npm run test:node
serve-index,mocha --reporter spec --bail --check-leaks test/
d3-shape,mocha 'test/**/*-test.js' && eslint src test
d3-interpolate,mocha 'test/**/*-test.js' && eslint src test
pretty-error,"mocha ""test/**/*.coffee"""
spdy,mocha --reporter=spec test/*-test.js
spdy-transport,mocha --reporter=spec test/**/*-test.js test/**/**/*-test.js
renderkid,"mocha ""test/**/*.coffee"""
hpack.js,mocha test/*-test.js
wbuf,mocha test/**/*-test.js
browserify-zlib,npm run test:node && npm run test:browser
d3-time,TZ=America/Los_Angeles mocha 'test/**/*-test.js' && eslint src test
sharp,npm run test-lint && npm run test-unit && npm run test-licensing && npm run test-types
hmac-drbg,mocha --reporter=spec test/*-test.js
des.js,NODE_OPTIONS=--openssl-legacy-provider mocha --reporter=spec test/*-test.js
d3-time-format,TZ=America/Los_Angeles mocha 'test/**/*-test.js' && eslint src test
d3-scale,TZ=America/Los_Angeles mocha 'test/**/*-test.js' && eslint src test
json-bigint,./node_modules/mocha/bin/mocha -R spec --check-leaks test/*-test.js
formidable,pnpm run audit && node --test ./test-node/**/*.test.js && pnpm run test-jest:ci
dom-converter,"mocha ""test/**/*.coffee"""
expand-tilde,mocha
file-loader,npm run test:coverage
archiver,mocha --reporter dot
homedir-polyfill,mocha
zip-stream,mocha --reporter dot
compress-commons,mocha --reporter dot
crc32-stream,mocha --reporter dot
superagent,npm run build && npm run lint && make test
miller-rabin,mocha --reporter=spec test/**/*-test.js
linkify-it,npm run lint && npm run build && c8 --exclude build --exclude test -r text -r html -r lcov mocha
one-time,nyc --reporter=text --reporter=json-summary npm run test:runner
colorspace,mocha test.js
resolve-dir,mocha
yargs-unparser,jest --env node --coverage
@dabh/diagnostics,nyc --reporter=text --reporter=lcov npm run test:runner
warning,npm run test:dev && npm run test:prod
@parcel/watcher,mocha
findup-sync,nyc mocha --async-only
duplexer2,mocha -R tap
compare-func,npm run-script lint && mocha
markdown-it,npm run lint && CJS_ONLY=1 npm run build && c8 --exclude dist --exclude test -r text -r html -r lcov mocha && node support/specsplit.mjs
ext,mocha
notifications-node-client,"mocha ""spec/**/*.js"" && npm run test:markdown:standard"
basic-auth,mocha --check-leaks --reporter spec --bail
portfinder,jest --runInBand
connect,mocha --require test/support/env --reporter spec --bail --check-leaks test/
needle,mocha test
bplist-parser,mocha test
for-own,mocha
sinon,npm run test-node && npm run test-headless && npm run test-webworker
md5,mocha
source-map-loader,npm run test:coverage
node-notifier,jest
nodemon,npm run lint && npm run spec
sane,npm run format && eslint src/ test/ index.js && mocha --bail test/test.js && mocha --bail test/utils-test.js && mocha --bail 'test/watchexec_*-test.js'
is-relative,mocha
pgpass,"""$npm_execpath"" run _hint && ""$npm_execpath"" run _covered_test"
capture-exit,mocha test
is-absolute,mocha
is-unc-path,mocha
istanbul-lib-hook,nyc --nycrc-path=../../monorepo-per-package-full.js mocha
supertest,nyc --reporter=html --reporter=text mocha --exit --require should --reporter spec --check-leaks
write,mocha
coa,nyc mocha
multer,mocha --reporter spec --exit --check-leaks test/
redis-parser,npm run coverage
webpack-bundle-analyzer,npm run install-test-webpack-versions && jest --runInBand
eslint-plugin-es,npm run -s test:mocha
temp,mocha test/temp-test.js
recursive-readdir,mocha test/
path-root,mocha
lazy-cache,mocha
nise,mocha lib/**/*.test.js
css-to-react-native,jest
react-smooth,cross-env BABEL_ENV=test jest
url-loader,npm run test:coverage
router,mocha --reporter spec --bail --check-leaks test/
parse-filepath,mocha
vinyl,nyc mocha --async-only
css,mocha --require should --reporter spec test/*.js
node-dir,mocha --reporter spec
request-progress,mocha --bail
streamroller,nyc --check-coverage mocha
currently-unhandled,xo && nyc ava
isomorphic-fetch,jshint `npm run -s files` && lintspaces -i js-comments -e .editorconfig `npm run -s files` && mocha
jscodeshift,jest --bail
react-dev-utils,cross-env FORCE_COLOR=true jest
jest-junit,jest
d3-transition,mocha 'test/**/*-test.js' && eslint src test
@cypress/xvfb,eslint **/*.js && mocha
morgan,mocha --check-leaks --reporter spec
postcss-initial,npm run lint && mocha
d3-drag,mocha 'test/**/*-test.js' && eslint src test
d3-geo,mocha 'test/**/*-test.js' && eslint src test
webpack-hot-middleware,mocha
eslint-plugin-flowtype,mocha --require @babel/register ./tests/rules/index.js
eslint-plugin-node,nyc npm run -s test:_mocha
browser-resolve,node scripts/setup-symlinks.js && mocha --reporter list test/*.js
wait-on,npm run lint && npm run test:mocha
d3-zoom,mocha 'test/**/*-test.js' && eslint src test
babel-eslint,npm run lint && npm run test-only
rollup-plugin-terser,jest
@tailwindcss/typography,jest
stacktrace-parser,tsd && mocha --require ./mocha-babel-hook 'test/**/*.spec.js'
randexp,istanbul cover node_modules/.bin/_mocha -- test/*-test.js
mnemonist,mocha
find-yarn-workspace-root,mocha tests/**/*-test.js
unixify,mocha
@surma/rollup-plugin-off-main-thread,node ./run_tests.js
cli-progress,mocha test/**/*.test.js
npm-run-all,nyc --require babel-register npm run _mocha
d3-scale-chromatic,mocha 'test/**/*-test.js' && eslint src test
cookie-parser,mocha --reporter spec --bail --check-leaks test/
d3-force,mocha 'test/**/*-test.js' && eslint src test
d3-dsv,TZ=America/Los_Angeles mocha 'test/**/*-test.js' && eslint src test
raw-loader,npm run test:coverage
babel-plugin-styled-components,jest
@zkochan/js-yaml,npm run lint && mocha
d3-delaunay,mocha 'test/**/*-test.js' && eslint src test
